kCommandBuffer 	
kAllReduceStart	
kKernel        	, kernel = input_reduce_fusion_6, launch dimensions = blocks: {1, 1, 1}, threads/block: {2, 1, 1}, cluster_dim = nullopt
kKernel        	, kernel = loop_broadcast_fusion_1, launch dimensions = blocks: {2, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kFft           	
kCommandBuffer 	
kAllReduceDone 	
kKernel        	, kernel = loop_divide_fusion_2, launch dimensions = blocks: {4, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel        	, kernel = loop_pad_fusion, launch dimensions = blocks: {800, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kWhile         	  
condition:
    kKernel	, kernel = loop_compare_fusion, launch dimensions = blocks: {1, 1, 1}, threads/block: {1, 1, 1}, cluster_dim = nullopt
  body:
    kPartitionId       	
    kKernel            	, kernel = loop_dynamic_slice_fusion, launch dimensions = blocks: {2, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
    kAllGatherStart    	
    kKernel            	, kernel = loop_broadcast_fusion, launch dimensions = blocks: {480, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
    kAllToAllStart     	
    kKernel            	, kernel = loop_complex_transpose_fusion, launch dimensions = blocks: {960, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
    kKernel            	, kernel = wrapped_transpose_3, launch dimensions = blocks: {4, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
    kGemm              	
    kKernel            	, kernel = wrapped_transpose_4, launch dimensions = blocks: {480, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
    kAllToAllDone      	
    kAllGatherStart    	
    kCommandBuffer     	
    kAllGatherDone     	
    kAllReduceStart    	
    kKernel            	, kernel = loop_transpose_fusion_2, launch dimensions = blocks: {960, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
    kGemm              	
    kKernel            	, kernel = input_transpose_fusion_1, launch dimensions = blocks: {15360, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
    kFft               	
