Jax plugin configuration error: Exception when calling jax_plugins.xla_cuda13.initialize()
Traceback (most recent call last):
  File "/pscratch/sd/j/jackm/lorrax_sandbox/sources/lorrax_B/.venv/lib/python3.12/site-packages/jax/_src/xla_bridge.py", line 497, in discover_pjrt_plugins
    plugin_module.initialize()
  File "/pscratch/sd/j/jackm/lorrax_sandbox/sources/lorrax_B/.venv/lib/python3.12/site-packages/jax_plugins/xla_cuda13/__init__.py", line 348, in initialize
    _check_cuda_versions(raise_on_first_error=True)
  File "/pscratch/sd/j/jackm/lorrax_sandbox/sources/lorrax_B/.venv/lib/python3.12/site-packages/jax_plugins/xla_cuda13/__init__.py", line 274, in _check_cuda_versions
    for d in range(cuda_versions.cuda_device_count())
                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
RuntimeError: jaxlib/cuda/versions_helpers.cc:126: operation cuInit(0) failed: CUDA_ERROR_NO_DEVICE
JAX: 1 cpu devices
== kin_ion_io ==
Loading WFN: WFN.h5
Bands: 60, FFT grid: (24, 24, 24), k-points: 64
sys_dim: 3
Devices: 1
Pseudopotentials: ['Si']
Coulomb truncation: 3D bulk
Building V_loc...
Building unified V_NL setup...

Processing 64 k-points...
  k=1/64...
  k=17/64...
  k=33/64...
  k=49/64...

Writing to /pscratch/sd/j/jackm/lorrax_sandbox/runs/Si/NONBISPINOR_CPU_2026-05-20/mu384_autoroute/kin_ion.h5...
Wrote kin_ion.h5: shape (64, 60, 60), sys_dim=3
--- Timing (seconds) ---
Total recorded: 6.158 s
Section                                            Count    Total[s]     Self[s]      %
load_wfn                                               1       0.226       0.226    3.7
build_V_loc                                            1       0.270       0.270    4.4
k0                                                     1       0.793       0.793   12.9
k1                                                     1       0.470       0.470    7.6
k2                                                     1       0.465       0.465    7.6
k3                                                     1       0.027       0.027    0.4
k4                                                     1       0.031       0.031    0.5
k5                                                     1       0.461       0.461    7.5
k6                                                     1       0.469       0.469    7.6
k7                                                     1       0.480       0.480    7.8
k8                                                     1       0.019       0.019    0.3
k9                                                     1       0.030       0.030    0.5
k10                                                    1       0.461       0.461    7.5
k11                                                    1       0.027       0.027    0.4
k12                                                    1       0.029       0.029    0.5
k13                                                    1       0.030       0.030    0.5
k14                                                    1       0.029       0.029    0.5
k15                                                    1       0.030       0.030    0.5
k16                                                    1       0.029       0.029    0.5
k17                                                    1       0.029       0.029    0.5
k18                                                    1       0.030       0.030    0.5
k19                                                    1       0.030       0.030    0.5
k20                                                    1       0.023       0.023    0.4
k21                                                    1       0.029       0.029    0.5
k22                                                    1       0.030       0.030    0.5
k23                                                    1       0.029       0.029    0.5
k24                                                    1       0.028       0.028    0.5
k25                                                    1       0.023       0.023    0.4
k26                                                    1       0.029       0.029    0.5
k27                                                    1       0.474       0.474    7.7
k28                                                    1       0.026       0.026    0.4
k29                                                    1       0.029       0.029    0.5
k30                                                    1       0.030       0.030    0.5
k31                                                    1       0.029       0.029    0.5
k32                                                    1       0.022       0.022    0.4
k33                                                    1       0.029       0.029    0.5
k34                                                    1       0.030       0.030    0.5
k35                                                    1       0.029       0.029    0.5
k36                                                    1       0.022       0.022    0.4
k37                                                    1       0.022       0.022    0.4
k38                                                    1       0.030       0.030    0.5
k39                                                    1       0.030       0.030    0.5
k40                                                    1       0.030       0.030    0.5
k41                                                    1       0.029       0.029    0.5
k42                                                    1       0.029       0.029    0.5
k43                                                    1       0.030       0.030    0.5
k44                                                    1       0.029       0.029    0.5
k45                                                    1       0.029       0.029    0.5
k46                                                    1       0.030       0.030    0.5
k47                                                    1       0.030       0.030    0.5
k48                                                    1       0.030       0.030    0.5
k49                                                    1       0.030       0.030    0.5
k50                                                    1       0.029       0.029    0.5
k51                                                    1       0.028       0.028    0.5
k52                                                    1       0.030       0.030    0.5
k53                                                    1       0.031       0.031    0.5
k54                                                    1       0.029       0.029    0.5
k55                                                    1       0.030       0.030    0.5
k56                                                    1       0.029       0.029    0.5
k57                                                    1       0.022       0.022    0.4
k58                                                    1       0.030       0.030    0.5
k59                                                    1       0.023       0.023    0.4
k60                                                    1       0.029       0.029    0.5
k61                                                    1       0.030       0.030    0.5
k62                                                    1       0.022       0.022    0.4
k63                                                    1       0.031       0.031    0.5
write_h5                                               1       0.009       0.009    0.1
