# Generated by LORRAX 0.1.0 at 2026-05-12 03:11:33 UTC
# Sigma frequency debug decomposition (per-(k, n) diagonals; all energies in eV).
# k               	n               	E_dft           	Edft-Ef         	kin_ion         	V_H             	x_bare          	x_head          	sex_0           	coh_0           	eqp0            	eqp1            

k-point 0:
               0	              40	       +4.776397	       +4.776397	      +14.550336	      +66.512474	       -3.609677	       +0.000000	       -3.609677	       +0.000000	      +73.843456	      +73.843456
               0	              41	       +4.776397	       +4.776397	      +14.550336	      +66.512474	       -3.609677	       +0.000000	       -3.609677	       +0.000000	      +73.843456	      +73.843456
               0	              42	       +5.486224	       +5.486224	      +34.714249	     +360.387795	      -13.797230	       +0.000000	      -13.797230	       +0.000000	     +367.507583	     +367.507583
               0	              43	       +5.486224	       +5.486224	      +34.714249	     +360.387795	      -13.797230	       +0.000000	      -13.797230	       +0.000000	     +367.507583	     +367.507583
               0	              44	       +5.562327	       +5.562327	      +34.721519	     +358.945292	      -13.888374	       +0.000000	      -13.888374	       +0.000000	     +365.890064	     +365.890064
               0	              45	       +5.562327	       +5.562327	      +34.721519	     +358.945292	      -13.888374	       +0.000000	      -13.888374	       +0.000000	     +365.890064	     +365.890064
               0	              46	       +7.461580	       +7.461580	      +39.388634	     +337.934880	      -12.711831	       +0.000000	      -12.711831	       +0.000000	     +351.899852	     +351.899852
               0	              47	       +7.461580	       +7.461580	      +39.388634	     +337.934880	      -12.711831	       +0.000000	      -12.711831	       +0.000000	     +351.899852	     +351.899852
               0	              48	       +7.478940	       +7.478940	      +39.423059	     +338.980868	      -12.838091	       +0.000000	      -12.838091	       +0.000000	     +352.727745	     +352.727745
               0	              49	       +7.478940	       +7.478940	      +39.423059	     +338.980868	      -12.838091	       +0.000000	      -12.838091	       +0.000000	     +352.727745	     +352.727745
               0	              50	       +7.640758	       +7.640758	      +39.779355	     +283.804981	       -7.595567	       +0.000000	       -7.595567	       +0.000000	     +308.393203	     +308.393203
               0	              51	       +7.640758	       +7.640758	      +39.779355	     +283.804981	       -7.595567	       +0.000000	       -7.595567	       +0.000000	     +308.393203	     +308.393203
               0	              52	      +10.750584	      +10.750584	      +46.967980	     +313.773359	       -9.137318	       +0.000000	       -9.137318	       +0.000000	     +342.466703	     +342.466703
               0	              53	      +10.750584	      +10.750584	      +46.967980	     +313.773359	       -9.137318	       +0.000000	       -9.137318	       +0.000000	     +342.466703	     +342.466703
               0	              54	      +10.765263	      +10.765263	      +46.999011	     +313.852793	       -9.143447	       +0.000000	       -9.143447	       +0.000000	     +342.564911	     +342.564911
