 -------  Norm of dcc matrices : Spins =            1  -------
           k-point           ik_co    c   dist    |dcc|^2      
---------------------------------------------------------------
 (  0.000 ,  0.000 ,  0.000 )    1    1  0.000   1.000000
 (  0.000 ,  0.000 ,  0.000 )    1    2  0.000   1.000000
 (  0.000 ,  0.000 ,  0.000 )    1    3  0.000   1.000000
 (  0.000 ,  0.000 ,  0.000 )    1    4  0.000   1.000000
 ( -0.000 , -0.000 ,  0.250 )    2    1  0.000   1.000000
 ( -0.000 , -0.000 ,  0.250 )    2    2  0.000   1.000000
 ( -0.000 , -0.000 ,  0.250 )    2    3  0.000   1.000000
 ( -0.000 , -0.000 ,  0.250 )    2    4  0.000   1.000000
 (  0.000 ,  0.250 ,  0.000 )    3    1  0.000   1.000000
 (  0.000 ,  0.250 ,  0.000 )    3    2  0.000   1.000000
 (  0.000 ,  0.250 ,  0.000 )    3    3  0.000   1.000000
 (  0.000 ,  0.250 ,  0.000 )    3    4  0.000   1.000000
 ( -0.250 , -0.250 , -0.250 )    4    1  0.000   1.000000
 ( -0.250 , -0.250 , -0.250 )    4    2  0.000   1.000000
 ( -0.250 , -0.250 , -0.250 )    4    3  0.000   1.000000
 ( -0.250 , -0.250 , -0.250 )    4    4  0.000   1.000000
 (  0.250 ,  0.000 ,  0.000 )    5    1  0.000   1.000000
 (  0.250 ,  0.000 ,  0.000 )    5    2  0.000   1.000000
 (  0.250 ,  0.000 ,  0.000 )    5    3  0.000   1.000000
 (  0.250 ,  0.000 ,  0.000 )    5    4  0.000   1.000000
 ( -0.000 ,  0.000 , -0.250 )    6    1  0.000   1.000000
 ( -0.000 ,  0.000 , -0.250 )    6    2  0.000   1.000000
 ( -0.000 ,  0.000 , -0.250 )    6    3  0.000   1.000000
 ( -0.000 ,  0.000 , -0.250 )    6    4  0.000   1.000000
 (  0.000 , -0.250 ,  0.000 )    7    1  0.000   1.000000
 (  0.000 , -0.250 ,  0.000 )    7    2  0.000   1.000000
 (  0.000 , -0.250 ,  0.000 )    7    3  0.000   1.000000
 (  0.000 , -0.250 ,  0.000 )    7    4  0.000   1.000000
 (  0.250 ,  0.250 ,  0.250 )    8    1  0.000   1.000000
 (  0.250 ,  0.250 ,  0.250 )    8    2  0.000   1.000000
 (  0.250 ,  0.250 ,  0.250 )    8    3  0.000   1.000000
 (  0.250 ,  0.250 ,  0.250 )    8    4  0.000   1.000000
 ( -0.250 ,  0.000 , -0.000 )    9    1  0.000   1.000000
 ( -0.250 ,  0.000 , -0.000 )    9    2  0.000   1.000000
 ( -0.250 ,  0.000 , -0.000 )    9    3  0.000   1.000000
 ( -0.250 ,  0.000 , -0.000 )    9    4  0.000   1.000000
 ( -0.000 , -0.000 , -0.500 )   10    1  0.000   1.000000
 ( -0.000 , -0.000 , -0.500 )   10    2  0.000   1.000000
 ( -0.000 , -0.000 , -0.500 )   10    3  0.000   1.000000
 ( -0.000 , -0.000 , -0.500 )   10    4  0.000   1.000000
 (  0.000 , -0.500 ,  0.000 )   11    1  0.000   1.000000
 (  0.000 , -0.500 ,  0.000 )   11    2  0.000   1.000000
 (  0.000 , -0.500 ,  0.000 )   11    3  0.000   1.000000
 (  0.000 , -0.500 ,  0.000 )   11    4  0.000   1.000000
 (  0.500 ,  0.500 ,  0.500 )   12    1  0.000   1.000000
 (  0.500 ,  0.500 ,  0.500 )   12    2  0.000   1.000000
 (  0.500 ,  0.500 ,  0.500 )   12    3  0.000   1.000000
 (  0.500 ,  0.500 ,  0.500 )   12    4  0.000   1.000000
 ( -0.500 ,  0.000 ,  0.000 )   13    1  0.000   1.000000
 ( -0.500 ,  0.000 ,  0.000 )   13    2  0.000   1.000000
 ( -0.500 ,  0.000 ,  0.000 )   13    3  0.000   1.000000
 ( -0.500 ,  0.000 ,  0.000 )   13    4  0.000   1.000000
 (  0.000 ,  0.250 ,  0.250 )   14    1  0.000   1.000000
 (  0.000 ,  0.250 ,  0.250 )   14    2  0.000   1.000000
 (  0.000 ,  0.250 ,  0.250 )   14    3  0.000   1.000000
 (  0.000 ,  0.250 ,  0.250 )   14    4  0.000   1.000000
 (  0.000 , -0.250 , -0.250 )   15    1  0.000   1.000000
 (  0.000 , -0.250 , -0.250 )   15    2  0.000   1.000000
