# q=  0.50000000E-03  0.00000000E+00  0.00000000E+00  (qpt 1)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.20387928E-06     -0.61758475E-06     -0.22011911E-10     -0.64658939E-07
       2     -0.37012668E-06     -0.61758475E-06     -0.38508092E-10     -0.64658939E-07
       3     -0.40949972E-06     -0.61758475E-06     -0.58905136E-10     -0.64658939E-07
       4     -0.49201105E-06     -0.61758475E-06     -0.84037474E-10     -0.64658939E-07
       5     -0.53098303E-06     -0.61758475E-06     -0.10688840E-09     -0.64658939E-07
       6     -0.56947435E-06     -0.61758475E-06     -0.12875983E-09     -0.64658939E-07
       7     -0.59177592E-06     -0.61758475E-06     -0.14379402E-09     -0.64658939E-07
       8     -0.61407707E-06     -0.61758475E-06     -0.15828168E-09     -0.64658939E-07
       9     -0.61474623E-06     -0.61758475E-06     -0.23699822E-09     -0.64658939E-07
      10     -0.61541977E-06     -0.61758475E-06     -0.31780541E-09     -0.64658939E-07
      11     -0.61609766E-06     -0.61758475E-06     -0.39864166E-09     -0.64658939E-07
      12     -0.61677861E-06     -0.61758475E-06     -0.47698551E-09     -0.64658939E-07
      13     -0.61689319E-06     -0.61758475E-06     -0.56582866E-09     -0.64658939E-07
      14     -0.61706070E-06     -0.61758475E-06     -0.68592352E-09     -0.64658939E-07
      15     -0.61721199E-06     -0.61758475E-06     -0.79506598E-09     -0.64658939E-07
      16     -0.61735886E-06     -0.61758475E-06     -0.90325360E-09     -0.64658939E-07
      17     -0.61739653E-06     -0.61758475E-06     -0.92159884E-09     -0.64658939E-07
      18     -0.61743354E-06     -0.61758475E-06     -0.93566401E-09     -0.64658939E-07
      19     -0.61744502E-06     -0.61758475E-06     -0.95572535E-09     -0.64658939E-07
      20     -0.61745829E-06     -0.61758475E-06     -0.97394253E-09     -0.64658939E-07
      21     -0.61747320E-06     -0.61758475E-06     -0.10571196E-08     -0.64658939E-07
      22     -0.61748827E-06     -0.61758475E-06     -0.11424314E-08     -0.64658939E-07
      23     -0.61748912E-06     -0.61758475E-06     -0.12539959E-08     -0.64658939E-07
      24     -0.61748983E-06     -0.61758475E-06     -0.13634111E-08     -0.64658939E-07
      25     -0.61749040E-06     -0.61758475E-06     -0.14559184E-08     -0.64658939E-07
      26     -0.61749097E-06     -0.61758475E-06     -0.15348144E-08     -0.64658939E-07
      27     -0.61749169E-06     -0.61758475E-06     -0.16098114E-08     -0.64658939E-07
      28     -0.61749247E-06     -0.61758475E-06     -0.17013080E-08     -0.64658939E-07
      29     -0.61749300E-06     -0.61758475E-06     -0.21324737E-08     -0.64658939E-07
      30     -0.61749348E-06     -0.61758475E-06     -0.24200629E-08     -0.64658939E-07
      31     -0.61749394E-06     -0.61758475E-06     -0.27072722E-08     -0.64658939E-07
      32     -0.61749445E-06     -0.61758475E-06     -0.31416350E-08     -0.64658939E-07
      33     -0.61749876E-06     -0.61758475E-06     -0.31989991E-08     -0.64658939E-07
      34     -0.61749920E-06     -0.61758475E-06     -0.32598041E-08     -0.64658939E-07
      35     -0.61750432E-06     -0.61758475E-06     -0.33744951E-08     -0.64658939E-07
      36     -0.61750554E-06     -0.61758475E-06     -0.34888091E-08     -0.64658939E-07
      37     -0.61750598E-06     -0.61758475E-06     -0.37038097E-08     -0.64658939E-07
      38     -0.61750682E-06     -0.61758475E-06     -0.38735812E-08     -0.64658939E-07
      39     -0.61751009E-06     -0.61758475E-06     -0.39514140E-08     -0.64658939E-07
      40     -0.61751263E-06     -0.61758475E-06     -0.41149633E-08     -0.64658939E-07
      41     -0.61751575E-06     -0.61758475E-06     -0.41835909E-08     -0.64658939E-07
      42     -0.61751955E-06     -0.61758475E-06     -0.42575579E-08     -0.64658939E-07
      43     -0.61752267E-06     -0.61758475E-06     -0.42912141E-08     -0.64658939E-07
      44     -0.61752511E-06     -0.61758475E-06     -0.43194769E-08     -0.64658939E-07
      45     -0.61752780E-06     -0.61758475E-06     -0.43818550E-08     -0.64658939E-07
      46     -0.61753055E-06     -0.61758475E-06     -0.44259493E-08     -0.64658939E-07
      47     -0.61753188E-06     -0.61758475E-06     -0.45998888E-08     -0.64658939E-07
